data_set_name,download_type,download_urls
Smith 2018,metadata,https://cn.dataone.org/cn/v2/resolve/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fmetadata%2Feml%2Fknb-lter-jrn%2F210327001%2F1
Smith 2018,package report,https://cn.dataone.org/cn/v2/resolve/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Freport%2Feml%2Fknb-lter-jrn%2F210327001%2F1
Smith 2018,data file,https://cn.dataone.org/cn/v2/resolve/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fdata%2Feml%2Fknb-lter-jrn%2F210327001%2F1%2F5756fb95abe3e3511af1c267840781e1
Pelini 2016,metadata,https://cn.dataone.org/cn/v2/resolve/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fmetadata%2Feml%2Fknb-lter-hfr%2F276%2F2
Pelini 2016,package report,https://cn.dataone.org/cn/v2/resolve/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Freport%2Feml%2Fknb-lter-hfr%2F276%2F2
Pelini 2016,data file,https://cn.dataone.org/cn/v2/resolve/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fdata%2Feml%2Fknb-lter-hfr%2F276%2F2%2F824ee000f3e3c6c41113e4ccbeb0bc80
Moriss2020a,metadata,"https://cn.dataone.org/cn/v2/resolve/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fmetadata%2Feml%2Fedi%2F136%2F5.xml', "
Moriss2020a,package report,https://cn.dataone.org/cn/v2/resolve/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Freport%2Feml%2Fedi%2F136%2F5.xml
Moriss2020a,csv data file,https://cn.dataone.org/cn/v2/resolve/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fdata%2Feml%2Fedi%2F136%2F5%2F7fbe07a9a364e73cdaae941b0362021d.csv
Morriss2020b,metadata,https://cn.dataone.org/cn/v2/resolve/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fmetadata%2Feml%2Fedi%2F135%2F4.xml
Morriss2020b,package report,https://cn.dataone.org/cn/v2/resolve/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Freport%2Feml%2Fedi%2F135%2F4.xml
Morriss2020b,data file,https://cn.dataone.org/cn/v2/resolve/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fdata%2Feml%2Fedi%2F135%2F4%2Ff7302706bfaedae837c60e79fa4757c8.csv
Morriss2020b,data file,https://cn.dataone.org/cn/v2/resolve/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fdata%2Feml%2Fedi%2F135%2F4%2F6985230448339d2876bfedc0d61b3628.csv
Morriss2020b,data file,https://cn.dataone.org/cn/v2/resolve/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fdata%2Feml%2Fedi%2F135%2F4%2F66cfdd295864bd5e6e9988cc268ad13f.csv
Suding2019,data,https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fdata%2Feml%2Fknb-lter-nwt%2F265%2F1%2F9a2e3f9fc5a38f5831065088ee9a75bf.csv
Suding2019,metadata,https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fmetadata%2Feml%2Fknb-lter-nwt%2F265%2F1.xml
Suding2019,packageReport,https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Freport%2Feml%2Fknb-lter-nwt%2F265%2F1.xml
Brigham2019,data,https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fdata%2Feml%2Fknb-lter-nwt%2F245%2F1%2Fae8a3776fb02d85e425c73364ac4e343.csv
Brigham2019,metadata,https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fmetadata%2Feml%2Fknb-lter-nwt%2F245%2F1.xml
Brigham2019,packageReport,https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Freport%2Feml%2Fknb-lter-nwt%2F245%2F1.xml
Brigham2019,data,https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fdata%2Feml%2Fknb-lter-nwt%2F248%2F1%2F938009337a8fa3e014d1f4da3d6ed726.csv
Brigham2019,metadata,https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fmetadata%2Feml%2Fknb-lter-nwt%2F248%2F1.xml
Brigham2019,packageReport,https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Freport%2Feml%2Fknb-lter-nwt%2F248%2F1.xml
Craft2006,data,https://cn.dataone.org/cn/v2/resolve/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fdata%2Feml%2Fknb-lter-gce%2F276%2F23%2F12de76c2e224a02aefdf674fb814ccaa
Craft2006,metadata,https://cn.dataone.org/cn/v2/resolve/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fmetadata%2Feml%2Fknb-lter-gce%2F276%2F23
Craft2006,packageReport,https://cn.dataone.org/cn/v2/resolve/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Freport%2Feml%2Fknb-lter-gce%2F276%2F23
USGSAltamaha,data and metadata,https://waterdata.usgs.gov/nwis/dv/?site_no=02226000&agency_cd=USGS&amp;referred_module=sw
Joye2009,data,https://cn.dataone.org/cn/v2/resolve/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fdata%2Feml%2Fknb-lter-gce%2F316%2F20%2F304a499938feaf0e01acecf5228b23d5
Joye2009,metadata,https://cn.dataone.org/cn/v2/resolve/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fmetadata%2Feml%2Fknb-lter-gce%2F316%2F20
Joye2009,packageReport,https://cn.dataone.org/cn/v2/resolve/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Freport%2Feml%2Fknb-lter-gce%2F316%2F20
Fourqurean2017,data,https://cn.dataone.org/cn/v2/resolve/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fdata%2Feml%2Fknb-lter-knz%2F50%2F13%2F330657133c2c8699171f36affd9b4862
Fourqurean2017,metadata,https://cn.dataone.org/cn/v2/resolve/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fmetadata%2Feml%2Fknb-lter-knz%2F50%2F13
Fourqurean2017,packageReport,https://cn.dataone.org/cn/v2/resolve/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Freport%2Feml%2Fknb-lter-knz%2F50%2F13
Childers2018,data,https://cn.dataone.org/cn/v2/resolve/https://pasta.lternet.edu/package/data/eml/knb-lter-fce/1130/4/bc7b9dbe79dc89cf5258cba152573376
Childers2018,metadata,https://cn.dataone.org/cn/v2/resolve/https://pasta.lternet.edu/package/metadata/eml/knb-lter-fce/1130/4
Childers2018,packageReport,https://cn.dataone.org/cn/v2/resolve/https://pasta.lternet.edu/package/report/eml/knb-lter-fce/1130/4
Fourqurean2019,data,https://cn.dataone.org/cn/v2/resolve/https://pasta.lternet.edu/package/data/eml/knb-lter-fce/1128/6/fd59e02955a4d6e5db093f8f823dd027
Fourqurean2019,metadata,https://cn.dataone.org/cn/v2/resolve/https://pasta.lternet.edu/package/metadata/eml/knb-lter-fce/1128/6
Fourqurean2019,packageReport,https://cn.dataone.org/cn/v2/resolve/https://pasta.lternet.edu/package/report/eml/knb-lter-fce/1128/6
Kratz2005,metadata,https://cn.dataone.org/cn/v2/resolve/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fmetadata%2Feml%2Fknb-lter-ntl%2F99%2F7
Kratz2005,packageReport,https://cn.dataone.org/cn/v2/resolve/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Freport%2Feml%2Fknb-lter-ntl%2F99%2F7
Kratz2005,data,https://cn.dataone.org/cn/v2/resolve/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fdata%2Feml%2Fknb-lter-ntl%2F99%2F7%2Flpp_hglvl_data
Greenfield2005,metadata,https://cn.dataone.org/cn/v2/resolve/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fmetadata%2Feml%2Fknb-lter-ntl%2F98%2F7
Greenfield2005,packageReport,https://cn.dataone.org/cn/v2/resolve/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Freport%2Feml%2Fknb-lter-ntl%2F98%2F7
Greenfield2005,data,https://cn.dataone.org/cn/v2/resolve/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fdata%2Feml%2Fknb-lter-ntl%2F98%2F7%2Flpp_com1_data
Fry2011,metadata,https://cn.dataone.org/cn/v2/resolve/doi%3A10.5063%2FAA%2Fknb.279.1
Zou2010,metadata,https://cn.dataone.org/cn/v2/resolve/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fmetadata%2Feml%2Fknb-lter-luq%2F91%2F346001
Zou2010,packageReport,https://cn.dataone.org/cn/v2/resolve/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Freport%2Feml%2Fknb-lter-luq%2F91%2F346001
Zou2010,data,https://cn.dataone.org/cn/v2/resolve/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fdata%2Feml%2Fknb-lter-luq%2F91%2F346001%2F1b9dcd92dbf357f5629b1b910986490c
Zou2010,data,https://cn.dataone.org/cn/v2/resolve/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fdata%2Feml%2Fknb-lter-luq%2F91%2F346001%2Ffc7b96d120bd91c785c271b44115076f
Zou2010,data,https://cn.dataone.org/cn/v2/resolve/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fdata%2Feml%2Fknb-lter-luq%2F91%2F346001%2Fa9b8b5ee2d6f01809eca5311bb87d76d
Szlavecz2010,metadata,https://cn.dataone.org/cn/v2/resolve/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fmetadata%2Feml%2Fknb-lter-bes%2F549%2F160
Szlavecz2010,packageReport,https://cn.dataone.org/cn/v2/resolve/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Freport%2Feml%2Fknb-lter-bes%2F549%2F160
Szlavecz2010,data,https://cn.dataone.org/cn/v2/resolve/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fdata%2Feml%2Fknb-lter-bes%2F549%2F160%2F8e6890b810e36c35bd1993aff2167324
Gasier2009,data,https://cn.dataone.org/cn/v2/resolve/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fdata%2Feml%2Fknb-lter-fce%2F1060%2F8%2F0938f088fab07247907e6776b0b4daec.csv
Gasier2009,packagereport,https://cn.dataone.org/cn/v2/resolve/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Freport%2Feml%2Fknb-lter-fce%2F1060%2F8.xml
Gasier2009,metadata,https://cn.dataone.org/cn/v2/resolve/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fmetadata%2Feml%2Fknb-lter-fce%2F1060%2F8.xml
Ratacjzak2020,data,https://cn.dataone.org/cn/v2/resolve/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fdata%2Feml%2Fknb-lter-knz%2F69%2F17%2F63768b48f41e790a40e7fa4f9267c3a2.csv
Ratacjzak2020,metadata,https://cn.dataone.org/cn/v2/resolve/ https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fmetadata%2Feml%2Fknb-lter-knz%2F69%2F17.xml 
Ratacjzak2020,packagereport,https://cn.dataone.org/cn/v2/resolve/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Freport%2Feml%2Fknb-lter-knz%2F69%2F17.xml 
Chambers2018,metadata,https://cn.dataone.org/cn/v2/resolve/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fmetadata%2Feml%2Fknb-lter-fce%2F1127%2F8
Chambers2018,packageReport,https://cn.dataone.org/cn/v2/resolve/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Freport%2Feml%2Fknb-lter-fce%2F1117%2F4
Chambers2018,data,https://cn.dataone.org/cn/v2/resolve/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fdata%2Feml%2Fknb-lter-fce%2F1117%2F4%2Fc6c876506180832bda10ae8a2a27e330
Castaneda2005,metadata,https://cn.dataone.org/cn/v2/resolve/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fmetadata%2Feml%2Fknb-lter-fce%2F1117%2F4
Castaneda2005,packageReport,https://cn.dataone.org/cn/v2/resolve/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Freport%2Feml%2Fknb-lter-fce%2F1117%2F4
Castaneda2005,data,https://cn.dataone.org/cn/v2/resolve/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fdata%2Feml%2Fknb-lter-fce%2F1117%2F4%2Fc6c876506180832bda10ae8a2a27e330
Mead2004,metadata,https://cn.dataone.org/cn/v2/resolve/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fmetadata%2Feml%2Fknb-lter-fce%2F1163%2F2
Mead2004,packageReport,https://cn.dataone.org/cn/v2/resolve/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Freport%2Feml%2Fknb-lter-fce%2F1163%2F2
Mead2004,data,https://cn.dataone.org/cn/v2/resolve/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fdata%2Feml%2Fknb-lter-fce%2F1163%2F2%2Fe49fd8c1c4b29611ba55eb24fcfb543e
Helser2016,data,https://cn.dataone.org/cn/v2/resolve/954b3d37-df3c-4c11-a191-994099baa868
Helser2016,metadata,https://cn.dataone.org/cn/v2/resolve/10.24431_rw1k43w_202036185540
Helser2016,packageReport,https://cn.dataone.org/cn/v2/resolve/63a260bf-b7ce-4d9c-90b9-ab270cf67676
Lyon2019,metadata,https://cn.dataone.org/cn/v2/resolve/10.24431_rw1k33f_2019122023110
Lyon2019,data,https://cn.dataone.org/cn/v2/resolve/1d551ce4-afa8-4176-8508-88c23480ad8e
Gross2019,data,https://cn.dataone.org/cn/v2/resolve/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fdata%2Feml%2Fknb-lter-luq%2F204%2F13%2Fcf7b7d555b3b892582bfa2aa2e1da7c1
Gross2019,metadata,https://cn.dataone.org/cn/v2/resolve/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fmetadata%2Feml%2Fknb-lter-luq%2F204%2F13
Gross2019,packageReport,https://cn.dataone.org/cn/v2/resolve/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Freport%2Feml%2Fknb-lter-luq%2F204%2F13
Georgia2013,data,https://cn.dataone.org/cn/v2/resolve/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fdata%2Feml%2Fknb-lter-gce%2F442%2F9%2F68435ab846149df66dff07e50c526ea1
Georgia2013,metadata,https://cn.dataone.org/cn/v2/resolve/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Fmetadata%2Feml%2Fknb-lter-gce%2F442%2F9
Georgia2013,packageReport,https://cn.dataone.org/cn/v2/resolve/https%3A%2F%2Fpasta.lternet.edu%2Fpackage%2Freport%2Feml%2Fknb-lter-gce%2F442%2F9
Arora2019,data,https://cn.dataone.org/cn/v2/resolve/ess-dive-2d6119e7b619c9b-20190405T054726335
